CAS Number,SMILES
73606196, [K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl
85068297,NCc1cc(cc(c1)C(F)(F)F)C(F)(F)F
86479063,FC(F)C(F)(F)Oc1c(Cl)cc(NC(=O)NC(=O)c2c(F)cccc2F)cc1Cl
92612527,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
101908229,C[C@@]1(CCc2cc(O)ccc2[C@H]1CCCCCCCCC[S](=O)CCCC(F)(F)C(F)(F)F)c3ccc(O)cc3
103055078,FC(C(F)(F)F)C(F)(F)Oc1cc(Cl)c(NC(=O)NC(=O)c2c(F)cccc2F)cc1Cl
108427527,CCCC[N+](CCCC)(CCCC)CCCC.[O-][S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
112281773,FC(F)C(F)(F)OCC(Cn1cncn1)c2ccc(Cl)cc2Cl
121451023,FC(C(F)(F)F)C(F)(F)Oc1c(Cl)cc(NC(=O)NC(=O)c2c(F)cccc2F)c(F)c1Cl
129453618,C[C@]12CC[C@H]3[C@@H]([C@H](CCCCCCCCC[S](=O)CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34)[C@@H]1CC[C@@H]2O
137780699,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
151772586,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F
151772597,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F
231629371,NA
272451657,Cc1cc(ccc1NC(=O)c2cccc(I)c2C(=O)NC(C)(C)C[S](C)(=O)=O)C(F)(C(F)(F)F)C(F)(F)F
330562419,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
449177995,NA
749836202,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)C(F)(F)F
801212599,OC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
863090895,OC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F
914637493,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1000984359,NA
1207727045,CN(C(=O)c1ccccc1)c2cccc(c2F)C(=O)Nc3c(Br)cc(cc3C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
